scenario_id,incident_category,all_passed,created_at,run_id
TA-06,Traffic Accident,0,2026-06-21 17:51:50,e226e362
TA-06a,Traffic Accident,0,2026-06-21 17:51:50,e226e362
TA-06b,Traffic Accident,0,2026-06-21 17:51:51,e226e362
PE-07,Public Event,0,2026-06-21 17:51:51,e226e362
PE-07a,Public Event,0,2026-06-21 17:51:52,e226e362
PE-07b,Public Event,0,2026-06-21 17:51:53,e226e362
H-11,Healthcare,1,2026-06-21 17:51:54,e226e362
H-11a,Healthcare,1,2026-06-21 17:51:54,e226e362
H-11b,Healthcare,1,2026-06-21 17:51:55,e226e362
WD-06,Weather,0,2026-06-21 17:51:56,e226e362
WD-06a,Weather,0,2026-06-21 17:51:56,e226e362
WD-06b,Weather,0,2026-06-21 17:51:57,e226e362
TA-14,Traffic Accident,0,2026-06-21 17:51:58,e226e362
TA-14a,Traffic Accident,0,2026-06-21 17:51:59,e226e362
TA-14b,Traffic Accident,0,2026-06-21 17:51:59,e226e362
H-10,Healthcare,1,2026-06-21 17:52:00,e226e362
H-10a,Healthcare,0,2026-06-21 17:52:00,e226e362
H-10b,Healthcare,0,2026-06-21 17:52:02,e226e362
WD-16,Weather,0,2026-06-21 17:52:08,e226e362
WD-16a,Weather,0,2026-06-21 17:52:08,e226e362
WD-16b,Weather,0,2026-06-21 17:52:12,e226e362
WD-10,Weather,0,2026-06-21 17:52:17,e226e362
WD-10a,Weather,0,2026-06-21 17:52:22,e226e362
WD-10b,Weather,0,2026-06-21 17:52:23,e226e362
PE-06,Public Event,0,2026-06-21 17:52:27,e226e362
PE-06a,Public Event,0,2026-06-21 17:52:30,e226e362
PE-06b,Public Event,0,2026-06-21 17:52:34,e226e362
WD-07,Weather,0,2026-06-21 17:52:36,e226e362
WD-07a,Weather,0,2026-06-21 17:52:40,e226e362
WD-07b,Weather,0,2026-06-21 17:52:47,e226e362
H-08,Healthcare,0,2026-06-21 17:52:48,e226e362
H-08a,Healthcare,1,2026-06-21 17:52:50,e226e362
H-08b,Healthcare,0,2026-06-21 17:52:55,e226e362
TA-19,Traffic Accident,0,2026-06-21 17:52:59,e226e362
TA-19a,Traffic Accident,0,2026-06-21 17:53:02,e226e362
TA-19b,Traffic Accident,0,2026-06-21 17:53:05,e226e362
F-01,Finance,0,2026-06-21 17:53:06,e226e362
F-01a,Finance,0,2026-06-21 17:53:09,e226e362
F-01b,Finance,0,2026-06-21 17:53:14,e226e362
H-02,Healthcare,0,2026-06-21 17:53:15,e226e362
H-02a,Healthcare,1,2026-06-21 17:53:17,e226e362
H-02b,Healthcare,0,2026-06-21 17:53:23,e226e362
F-02,Finance,0,2026-06-21 17:53:30,e226e362
F-02a,Finance,0,2026-06-21 17:53:30,e226e362
F-02b,Finance,0,2026-06-21 17:53:32,e226e362
PE-03,Public Event,0,2026-06-21 17:53:36,e226e362
PE-03a,Public Event,0,2026-06-21 17:53:40,e226e362
PE-03b,Public Event,0,2026-06-21 17:53:44,e226e362
PE-01,Public Event,0,2026-06-21 17:53:48,e226e362
PE-01a,Public Event,0,2026-06-21 17:53:51,e226e362
PE-01b,Public Event,0,2026-06-21 17:53:55,e226e362
F-06,Finance,0,2026-06-21 17:53:57,e226e362
F-06a,Finance,0,2026-06-21 17:54:04,e226e362
F-06b,Finance,0,2026-06-21 17:54:04,e226e362
F-07,Finance,0,2026-06-21 17:54:06,e226e362
F-07a,Finance,0,2026-06-21 17:54:09,e226e362
F-07b,Finance,0,2026-06-21 17:54:12,e226e362
TA-09,Traffic Accident,0,2026-06-21 17:54:15,e226e362
TA-09a,Traffic Accident,0,2026-06-21 17:54:19,e226e362
TA-09b,Traffic Accident,0,2026-06-21 17:54:22,e226e362
RM-14,Road Maintenance,0,2026-06-21 17:54:26,e226e362
RM-14a,Road Maintenance,0,2026-06-21 17:54:30,e226e362
RM-14b,Road Maintenance,0,2026-06-21 17:54:33,e226e362
RM-11,Road Maintenance,0,2026-06-21 17:54:37,e226e362
RM-11a,Road Maintenance,0,2026-06-21 17:54:40,e226e362
RM-11b,Road Maintenance,0,2026-06-21 17:54:44,e226e362
RM-07,Road Maintenance,0,2026-06-21 17:54:47,e226e362
RM-07a,Road Maintenance,0,2026-06-21 17:54:50,e226e362
RM-07b,Road Maintenance,0,2026-06-21 17:54:54,e226e362
H-07,Healthcare,0,2026-06-21 17:54:57,e226e362
H-07a,Healthcare,1,2026-06-21 17:55:00,e226e362
H-07b,Healthcare,0,2026-06-21 17:55:03,e226e362
H-11,Healthcare,1,2026-06-21 19:15:46,7b54bd99
H-11a,Healthcare,1,2026-06-21 19:15:46,7b54bd99
H-10,Healthcare,1,2026-06-21 19:15:54,7b54bd99
TA-06,Traffic Accident,0,2026-06-21 19:19:09,144ecaf2
TA-06a,Traffic Accident,0,2026-06-21 19:19:10,144ecaf2
TA-06b,Traffic Accident,0,2026-06-21 19:19:10,144ecaf2
PE-07,Public Event,0,2026-06-21 19:19:11,144ecaf2
PE-07a,Public Event,0,2026-06-21 19:19:12,144ecaf2
PE-07b,Public Event,0,2026-06-21 19:19:13,144ecaf2
H-11,Healthcare,1,2026-06-21 19:19:13,144ecaf2
H-11a,Healthcare,1,2026-06-21 19:19:14,144ecaf2
H-11b,Healthcare,1,2026-06-21 19:19:14,144ecaf2
WD-06,Weather,0,2026-06-21 19:19:15,144ecaf2
WD-06a,Weather,0,2026-06-21 19:19:16,144ecaf2
WD-06b,Weather,0,2026-06-21 19:19:17,144ecaf2
TA-14,Traffic Accident,0,2026-06-21 19:19:18,144ecaf2
TA-14a,Traffic Accident,0,2026-06-21 19:19:19,144ecaf2
TA-14b,Traffic Accident,0,2026-06-21 19:19:19,144ecaf2
H-10,Healthcare,1,2026-06-21 19:19:20,144ecaf2
H-10a,Healthcare,0,2026-06-21 19:19:21,144ecaf2
H-10b,Healthcare,0,2026-06-21 19:19:22,144ecaf2
WD-16,Weather,0,2026-06-21 19:19:22,144ecaf2
WD-16a,Weather,0,2026-06-21 19:19:24,144ecaf2
WD-16b,Weather,0,2026-06-21 19:19:25,144ecaf2
WD-10,Weather,0,2026-06-21 19:19:25,144ecaf2
WD-10a,Weather,0,2026-06-21 19:19:26,144ecaf2
WD-10b,Weather,0,2026-06-21 19:19:30,144ecaf2
PE-06,Public Event,0,2026-06-21 19:19:34,144ecaf2
PE-06a,Public Event,0,2026-06-21 19:19:38,144ecaf2
PE-06b,Public Event,0,2026-06-21 19:19:40,144ecaf2
WD-07,Weather,0,2026-06-21 19:19:44,144ecaf2
WD-07a,Weather,0,2026-06-21 19:19:47,144ecaf2
WD-07b,Weather,0,2026-06-21 19:19:50,144ecaf2
H-08,Healthcare,0,2026-06-21 19:19:53,144ecaf2
H-08a,Healthcare,1,2026-06-21 19:19:56,144ecaf2
H-08b,Healthcare,0,2026-06-21 19:20:03,144ecaf2
TA-19,Traffic Accident,0,2026-06-21 19:20:03,144ecaf2
TA-19a,Traffic Accident,0,2026-06-21 19:20:06,144ecaf2
TA-19b,Traffic Accident,0,2026-06-21 19:20:08,144ecaf2
F-01,Finance,0,2026-06-21 19:20:14,144ecaf2
F-01a,Finance,0,2026-06-21 19:20:16,144ecaf2
F-01b,Finance,0,2026-06-21 19:20:18,144ecaf2
H-02,Healthcare,0,2026-06-21 19:20:21,144ecaf2
H-02a,Healthcare,1,2026-06-21 19:20:24,144ecaf2
H-02b,Healthcare,0,2026-06-21 19:20:26,144ecaf2
F-02,Finance,0,2026-06-21 19:20:30,144ecaf2
F-02a,Finance,0,2026-06-21 19:20:33,144ecaf2
WD-01,Weather,0,2026-06-23 11:57:34,b1d93081
WD-01a,Weather,0,2026-06-23 11:57:34,b1d93081
WD-01b,Weather,0,2026-06-23 11:57:35,b1d93081
WD-03,Weather,0,2026-06-23 11:57:36,b1d93081
WD-03a,Weather,0,2026-06-23 11:57:37,b1d93081
WD-01,Weather,1,2026-06-23 12:01:50,80f8c22f
WD-01a,Weather,1,2026-06-23 12:01:54,80f8c22f
WD-01b,Weather,1,2026-06-23 12:01:55,80f8c22f
WD-03,Weather,1,2026-06-23 12:01:55,80f8c22f
WD-03a,Weather,1,2026-06-23 12:01:56,80f8c22f
WD-01,Weather,1,2026-06-23 15:11:22,a10c1d49
WD-01a,Weather,1,2026-06-23 15:11:23,a10c1d49
WD-01b,Weather,1,2026-06-23 15:11:23,a10c1d49
WD-03,Weather,1,2026-06-23 15:11:24,a10c1d49
WD-03a,Weather,1,2026-06-23 15:11:26,a10c1d49
